num;volume;mass;firm;TSS;TA;zs;theta;AE;color;dE2000;L1;A1;B1;C1;H1;WI_CIE1;L2;A2;B2;C2;H2;WI_CIE2
1;125,06;155,48;1,22;9,9;0,85;0,8045;-40,19;D;53,585;15,43;27,61;14,74;11,16;18,49;37,14;-11064,00;43,06;15,74;25,00;29,54;57,81;-17766,00
2;125,34;159,66;0,43;10,8;0,81;0,7156;-34,704;C;50,285;31,11;24,50;11,54;7,49;13,75;32,94;-8114,00;55,41;13,13;33,05;35,56;68,33;-18883,00
3;119,72;149,45;0,52;11,1;0,77;0,9087;-37,24;D;52,015;22,93;26,46;12,15;9,85;15,65;39,05;-10209,00;48,50;15,29;33,62;36,92;65,56;-21456,00
4;131,54;155,17;1,48;9,5;0,86;1,2193;-44,06;D;46,795;39,17;26,69;8,11;6,02;10,10;36,57;-6215,00;62,15;4,86;43,41;43,69;83,60;-22786,00
5;130,36;152,13;0,57;9,8;0,88;0,9166;-38,313;D;44,88;34,95;30,86;13,97;13,15;19,18;43,29;-12175,00;62,29;8,84;42,72;43,63;78,29;-21980,00
6;124,82;151,64;1,38;10,2;0,90;0,937;-41,88;B;51,195;31,88;24,08;7,32;4,71;8,71;32,85;-5201,00;53,50;9,34;39,60;40,70;76,73;-23670,00
7;118,98;160,67;0,63;10,4;0,84;0,9898;-37,106;D;49,485;23,46;28,95;11,03;8,72;14,07;38,30;-8491,00;50,43;13,42;33,34;35,94;68,07;-20788,00
8;129,06;159,12;1,27;9,7;0,92;1,5043;-44,13;D;46,1;43,51;26,56;10,38;4,96;11,51;25,56;-4968,00;65,02;3,45;42,81;42,95;85,39;-21495,00
9;121,52;148,97;3,44;10,2;0,85;1,3553;-45,8;B;53,84;33,44;21,49;5,97;2,94;6,66;26,23;-3419,00;51,75;10,45;44,73;45,95;76,84;-26910,00
10;114,25;151,08;0,51;10,5;0,80;1,0038;-36,48;C;50,52;37,93;23,15;8,13;3,60;8,89;23,89;-3961,00;57,59;5,23;43,19;43,51;83,09;-24437,00
11;134,17;155,84;0,86;9,7;0,81;0,9152;-35,201;C;52,72;29,25;23,42;7,39;2,64;7,86;19,65;-2775,00;50,34;13,87;34,21;36,90;67,92;-21288,00
12;125,18;156,01;1,03;11,3;0,70;1,3048;-34,358;B;51,57;42,98;20,11;5,58;3,08;6,38;28,85;-3787,00;61,44;9,82;47,49;48,48;78,32;-24515,00
13;125,65;153,19;0,57;12,8;0,84;1,0841;-33,53;A;62,24;14,57;21,57;6,43;4,47;7,83;34,81;-5357,00;32,40;19,04;20,46;27,95;47,05;-17600,00
14;129,07;149,32;0,79;12,7;0,83;1,1481;-33,972;B;52,045;28,61;24,31;10,31;6,59;12,23;32,53;-7198,00;52,07;19,03;36,01;40,75;62,14;-21137,00
15;126,54;149,34;1,26;11,1;0,79;1,4502;-43,52;D;48,375;41,30;23,89;7,60;4,44;8,82;30,28;-4889,00;62,62;8,17;42,49;43,25;79,12;-21800,00
16;125,77;155,15;4,05;10,5;0,76;1,3863;-43,43;B;54,405;31,11;20,74;4,39;3,52;5,63;38,75;-4342,00;50,85;15,31;37,98;40,95;68,04;-23078,00
17;123,97;153,85;1,61;11,6;1,09;1,2772;-39,076;D;50,075;49,43;19,83;3,52;2,17;4,13;31,63;-2655,00;67,15;6,17;49,05;49,44;82,83;-23399,00
18;126,39;153,13;3,05;11,3;0,66;1,4273;-43,68;A;57,32;24,30;21,57;8,27;3,33;8,93;21,93;-3828,00;43,12;18,80;33,12;38,08;60,40;-22681,00
19;120,14;159,22;3,15;12,7;0,74;1,3576;-43,79;C;51,415;33,36;22,98;5,14;4,04;6,54;38,23;-4647,00;55,08;16,37;38,77;42,09;67,11;-21848,00
20;124,15;151,24;0,96;12,4;0,92;1,2763;-38,652;B;56;28,78;20,98;7,30;2,76;7,80;20,76;-3208,00;47,38;20,10;37,26;42,34;61,65;-23360,00
21;120,90;148,82;3,25;10,8;0,69;1,3722;-45;C;51,345;36,22;21,82;4,39;4,77;6,49;47,38;-5798,00;57,41;12,52;41,55;43,40;73,22;-22846,00
22;118,74;150,3;3,48;9,2;0,76;1,2925;-42,8;D;50,25;33,41;24,21;7,29;12,35;14,35;59,45;-14080,00;57,71;11,85;45,80;47,31;75,49;-24926,00
23;123,39;155,69;3,58;10,2;0,75;1,4181;-43,49;D;48,06;34,46;26,97;10,74;11,30;15,60;46,46;-11711,00;59,38;10,04;45,32;46,43;77,49;-24255,00
24;127,83;159,77;4,84;10,6;0,70;1,5237;-42,73;D;49,005;39,22;24,02;9,99;6,39;11,86;32,61;-7061,00;61,09;9,66;42,41;43,50;77,16;-22197,00
25;128,78;162,09;0,82;11,2;0,66;1,2547;-37,065;D;51,61;40,32;21,23;8,81;1,59;8,94;10,25;-1633,00;58,88;13,82;42,79;44,97;72,09;-22783,00
26;134,68;153,45;1,38;11,4;1,06;1,2515;-40,51;C;53,13;30,71;22,54;7,51;5,87;9,53;37,99;-6875,00;51,93;15,29;41,02;43,77;69,56;-24306,00
27;117,80;154,89;4,40;10,6;0,87;1,425;-45,95;D;45,635;33,54;30,60;15,28;26,37;30,47;59,91;-23480,00;62,88;8,20;47,11;47,82;80,12;-23952,00
28;120,65;151,81;1,31;12,1;0,96;1,1773;-38,957;B;58,32;14,82;24,08;14,23;9,51;17,10;33,75;-10287,00;38,51;22,11;26,13;34,24;49,76;-19387,00
29;130,02;155,73;2,98;10,8;0,79;1,3215;-43,37;C;49,83;26,07;27,76;11,88;9,34;15,11;38,19;-9367,00;52,10;14,38;36,39;39,13;68,44;-21848,00
30;125,33;154,15;1,66;11,4;0,84;1,403;-39,952;D;53,39;35,56;20,31;8,70;4,06;9,59;25,06;-4937,00;55,44;17,24;39,38;42,98;66,34;-21935,00
31;122,21;154,91;4,20;10,6;0,82;1,2355;-42,3;A;59,66;18,11;21,57;7,36;0,86;7,42;6,69;-706,00;37,17;17,95;19,50;26,52;47,38;-15397,00
32;124,08;150,66;3,87;9,5;0,74;1,3538;-41,19;C;54,39;30,73;20,31;9,17;2,93;9,64;17,69;-3436,00;51,56;16,84;29,85;34,29;60,56;-17972,00
33;119,71;152,72;4,28;9,3;0,76;1,428;-36,745;E;38,99;29,67;41,84;22,83;28,82;36,77;51,61;-19961,00;67,85;7,02;48,07;48,58;81,70;-22592,00
34;118,61;160,35;3,01;9,2;0,77;1,3476;-46;C;52,385;37,95;20,89;7,14;2,63;7,61;20,23;-3050,00;56,83;11,92;42,91;44,54;74,47;-23829,00
35;127,51;159,79;0,83;11,3;0,84;1,0256;-35,858;C;55,215;29,08;21,27;6,63;1,53;6,79;13,01;-1596,00;48,30;19,88;33,30;38,77;59,16;-20816,00
36;130,10;152,84;1,10;12,8;0,80;1,1755;-38,194;B;57,345;24,79;20,62;7,82;2,91;8,36;20,41;-3425,00;44,31;20,41;29,15;35,59;55,00;-19612,00
37;116,83;160,8;3,76;10,9;0,80;1,5366;-45,28;C;49,905;38,48;22,98;9,01;5,06;10,33;29,34;-5723,00;59,81;10,61;40,60;41,97;75,35;-21658,00
38;120,21;156,71;3,74;10,9;0,85;1,4372;-45,27;D;43,68;34,26;34,05;18,99;20,91;28,25;47,74;-17394,00;63,46;7,08;48,14;48,66;81,65;-24332,00
39;135,94;152,28;3,72;10,7;0,65;1,292;-45,06;A;52,96;28,13;22,64;6,77;8,59;10,94;51,76;-10234,00;51,55;15,74;35,65;38,97;66,19;-21476,00
40;126,68;153,18;3,54;11;0,74;1,2815;-44,75;B;50,665;34,59;22,61;3,33;5,78;6,68;60,02;-6989,00;57,24;15,34;36,69;39,76;67,31;-20064,00
41;115,76;159,7;3,36;12;0,84;1,2704;-44,95;C;51,5;34,43;22,43;5,15;3,22;6,07;31,96;-3678,00;55,64;15,63;38,07;41,16;67,69;-21352,00
42;116,68;157,9;0,94;12,8;0,92;0,9486;-34,108;C;59,62;19,69;20,74;6,19;5,98;8,62;44,01;-7489,00;39,14;22,00;25,93;34,01;49,69;-19056,00
